參考序列,門檻%,最短區間,段數,中位段長,平均段長
美股半導體籃子,7.000000000000001,10,14,20.5,35.6
美股半導體籃子,7.000000000000001,15,8,44.0,62.4
美股半導體籃子,8.0,5,19,14.0,26.3
美股半導體籃子,8.0,10,14,20.5,35.6
美股半導體籃子,8.0,15,8,44.0,62.4
美股半導體籃子,10.0,5,17,13.0,29.4
美股半導體籃子,10.0,10,12,20.5,41.6
美股半導體籃子,10.0,15,8,44.0,62.4
美股半導體籃子,12.0,5,13,22.0,38.4
美股半導體籃子,12.0,10,10,43.5,49.9
美股半導體籃子,12.0,15,8,53.0,62.4
台股半導體籃子,3.0,5,28,15.5,17.2
台股半導體籃子,3.0,10,16,22.0,30.1
台股半導體籃子,3.0,15,8,44.0,60.2
台股半導體籃子,4.0,5,22,17.0,21.9
台股半導體籃子,4.0,10,16,23.0,30.1
台股半導體籃子,4.0,15,8,41.0,60.2
台股半導體籃子,5.0,5,18,23.0,26.8
台股半導體籃子,5.0,10,16,24.0,30.1
台股半導體籃子,5.0,15,10,37.0,48.2
台股半導體籃子,6.0,5,16,23.0,30.1
台股半導體籃子,6.0,10,14,27.0,34.4
台股半導體籃子,6.0,15,10,37.0,48.2
台股半導體籃子,7.000000000000001,5,16,23.0,30.1
台股半導體籃子,7.000000000000001,10,14,27.0,34.4
台股半導體籃子,7.000000000000001,15,10,37.0,48.2
台股半導體籃子,8.0,5,8,26.0,60.2
台股半導體籃子,8.0,10,6,48.0,80.3
台股半導體籃子,8.0,15,6,48.0,80.3
台股半導體籃子,10.0,5,6,48.0,80.3
台股半導體籃子,10.0,10,6,48.0,80.3
台股半導體籃子,10.0,15,6,48.0,80.3
台股半導體籃子,12.0,5,4,80.5,120.5
台股半導體籃子,12.0,10,4,80.5,120.5
台股半導體籃子,12.0,15,4,80.5,120.5
